0, 1, 0, -1
6, 2, 0.453937, 0
7, 2, 0.349014, 0
19, 3, 0.731822, 6
26, 4, 2.04392, 19
33, 5, 2.75333, 26
34, 5, 2.39512, 26
42, 6, 2.4252, 34
46, 6, 2.74338, 34
48, 7, 3.05089, 46
59, 7, 9.91957, 42
62, 8, 3.89633, 48
68, 8, 3.90169, 48
71, 9, 4.66679, 68
76, 9, 4.30387, 68
80, 10, 4.41352, 76
92, 11, 6.19521, 80
98, 12, 7.15199, 92
103, 12, 7.17602, 92
104, 12, 7.38326, 92
107, 13, 8.31739, 104
110, 13, 7.44966, 98
116, 14, 8.32814, 110
121, 14, 8.76401, 110
131, 15, 9.18477, 116
134, 16, 9.78378, 131
142, 17, 10.6927, 134
143, 8, 17.4664, 59
158, 18, 11.1734, 142
162, 19, 11.504, 158
171, 20, 12.197, 162
186, 21, 12.9761, 171
188, 22, 13.3758, 186
200, 23, 14.425, 188
207, 24, 14.5124, 200
210, 24, 14.4988, 200
216, 25, 15.4553, 207
221, 25, 14.9336, 207
222, 25, 15.0655, 207
227, 26, 16.5021, 221
233, 27, 17.2954, 227
243, 28, 17.5324, 233
253, 29, 18.4313, 243
260, 29, 18.8204, 243
263, 30, 18.716, 253
271, 31, 19.0669, 263
277, 32, 19.1407, 271
286, 32, 19.9051, 271
291, 33, 20.6789, 286
295, 34, 21.5355, 291
301, 34, 21.019, 291
304, 35, 22.2683, 301
311, 36, 22.8154, 304
319, 37, 23.0138, 311
324, 38, 24.0962, 319
329, 37, 23.7416, 311
337, 39, 24.9801, 324
344, 40, 26.4806, 337
347, 40, 26.785, 337
349, 40, 26.5589, 337
352, 41, 27.3495, 347
355, 41, 26.5604, 344
362, 42, 27.4461, 355
373, 43, 28.8915, 362
374, 43, 29.3491, 362
378, 44, 28.9168, 373
