0, 1, 0, -1
6, 2, 0.643758, 0
7, 2, 0.38184, 0
19, 3, 1.12231, 6
26, 4, 2.2436, 19
33, 5, 2.68996, 26
34, 5, 2.76426, 26
42, 6, 2.80956, 34
46, 6, 2.77523, 34
48, 7, 3.05988, 46
59, 7, 9.74646, 42
62, 8, 4.24698, 48
68, 8, 3.74795, 48
71, 9, 4.86223, 68
76, 9, 4.55821, 68
80, 10, 4.77762, 76
92, 11, 6.4134, 80
98, 12, 7.51689, 92
103, 12, 7.20859, 92
104, 12, 7.23797, 92
107, 13, 8.22509, 104
110, 13, 7.8154, 98
116, 14, 8.33841, 110
121, 14, 8.97185, 110
131, 15, 9.02639, 116
134, 16, 9.96628, 131
142, 17, 10.8932, 134
143, 8, 17.2888, 59
158, 18, 11.4063, 142
162, 19, 11.8593, 158
171, 20, 12.203, 162
186, 21, 13.0234, 171
188, 22, 13.3218, 186
200, 23, 14.2917, 188
207, 24, 14.7056, 200
210, 24, 14.5171, 200
216, 25, 15.3423, 207
221, 25, 15.1264, 207
222, 25, 15.0506, 207
227, 26, 16.8746, 221
233, 27, 17.658, 227
243, 28, 17.8988, 233
253, 29, 18.4625, 243
260, 29, 18.7692, 243
263, 30, 19.0883, 253
