0, 1, 0, -1
6, 2, 0.47977, 0
7, 2, 0.530554, 0
19, 3, 0.548949, 6
26, 4, 2.0629, 19
33, 5, 2.68584, 26
34, 5, 2.57353, 26
42, 6, 2.60561, 34
46, 6, 2.9329, 34
48, 7, 3.24241, 46
59, 7, 9.74496, 42
62, 8, 4.08227, 48
68, 8, 3.76673, 48
71, 9, 4.67248, 68
76, 9, 4.11535, 68
80, 10, 4.6134, 76
92, 11, 6.00993, 80
98, 12, 7.3524, 92
103, 12, 7.19084, 92
104, 12, 7.24143, 92
107, 13, 8.19517, 104
110, 13, 7.65615, 98
116, 14, 8.50493, 110
121, 14, 8.77727, 110
131, 15, 9.02692, 116
134, 16, 9.80499, 131
142, 17, 10.7221, 134
143, 8, 17.3329, 59
158, 18, 10.9804, 142
162, 19, 11.7327, 158
171, 20, 12.3942, 162
186, 21, 12.9396, 171
188, 22, 13.3505, 186
200, 23, 14.31, 188
207, 24, 14.5248, 200
210, 24, 14.6849, 200
216, 25, 15.347, 207
221, 25, 14.7453, 207
222, 25, 15.0688, 207
227, 26, 16.6957, 221
233, 27, 17.5293, 227
243, 28, 17.7741, 233
253, 29, 18.6364, 243
260, 29, 18.6945, 243
263, 30, 18.9347, 253
271, 31, 19.2488, 263
277, 32, 19.3153, 271
286, 32, 19.7677, 271
291, 33, 20.5219, 286
295, 34, 21.4022, 291
301, 34, 21.2188, 291
304, 35, 22.4845, 301
311, 36, 23.0097, 304
319, 37, 23.2302, 311
324, 38, 24.3066, 319
329, 37, 23.7442, 311
337, 39, 25.1711, 324
344, 40, 26.6897, 337
347, 40, 26.6498, 337
349, 40, 26.5724, 337
352, 41, 27.2611, 347
355, 41, 26.7523, 344
362, 42, 27.2633, 355
373, 43, 28.9087, 362
374, 43, 29.283, 362
378, 44, 29.0995, 373
